experiment,settings,duration mean,duration min,duration 75%,duration median,duration 25%,duration max,duration std,duration variance,duration count,interval mean,interval min,interval 75%,interval median,interval 25%,interval max,interval std,interval variance,interval count
20170301–0-3425,250-500 4 peaks (3 and 2),45.8166200257556,10.0,32.5,21.25,14.375,3275.0,176.40855639209346,31119.978768342422,1072,792.8402194048366,10.0,689.6875,179.1666667,44.270833335,39585.20833,2240.183330278522,5018421.35325777,1071
20170301–0-3425,250-500 5 peaks (3 and 2),30.027039007276596,10.0,34.0625000025,23.75,16.04166667,253.5416667,24.071209362399724,579.4231201684802,470,1885.1470327114284,10.0,1122.083333,256.875,56.66666667,67233.75,6107.392579792724,37300244.12370723,469
20170301–0-3425,250-500 6 peaks (3 and 2),33.23625654486911,10.0,39.322916667499996,25.41666667,19.010416665,253.5416667,25.536912514568094,652.1339007767045,382,2324.2793087260893,10.0,1472.916667,267.7083333,58.95833333,106990.8333,8064.87682034,65042238.12725743,381
20170301–0-3425,250-500 4 peaks (4 and 3),27.577614379322636,10.0,31.875,21.45833333,15.20833333,253.5416667,22.799311846397753,519.8086206692928,561,1576.38504464425,10.0,1071.5104167499999,226.875,50.989583335,63465.83333,4878.62236675769,23800956.197428398,560
20170301–0-3425,250-500 5 peaks (4 and 3),30.027039007276596,10.0,34.0625000025,23.75,16.04166667,253.5416667,24.071209362399724,579.4231201684802,470,1885.1470327114284,10.0,1122.083333,256.875,56.66666667,67233.75,6107.392579792724,37300244.12370723,469
20170301–0-3425,250-500 6 peaks (4 and 3),33.23625654486911,10.0,39.322916667499996,25.41666667,19.010416665,253.5416667,25.536912514568094,652.1339007767045,382,2324.2793087260893,10.0,1472.916667,267.7083333,58.95833333,106990.8333,8064.87682034,65042238.12725743,381
20170301–90-3425,80-250 4 peaks (3 and 2),29.871639784935482,10.20833333,35.1562499975,24.895833335,18.1770833325,170.0,19.53630291107896,381.66713143343225,310,-34.134408493742214,-894964.5833,3588.5416665000002,996.6666665,140.729166675,38656.45833,51118.99279978936,2613151424.864917,310
20170301–90-3425,80-250 5 peaks (3 and 2),36.577219203152175,10.83333333,42.3437499975,31.979166665,23.17708333,170.0,22.383259665906955,501.0103132714172,184,4784.759790645082,10.0,6633.229167,1550.208333,353.2291667,53282.91667,7545.216999596264,56930299.570996456,183
20170301–90-3425,80-250 6 peaks (3 and 2),41.955128205538465,15.0,48.697916667499996,36.875,27.968750002500002,170.0,24.320209962814424,591.472612635378,130,6776.7231912468205,10.0,8077.708333,2237.916667,420.0,75316.66667,10609.207619715227,112555286.31822366,129
20170301–90-3425,80-250 4 peaks (4 and 3),30.044988925880396,10.0,35.41666667,25.0,17.70833333,171.6666667,19.20001433647323,368.6405505207776,903,964.8209996310753,10.0,1090.2083332500001,337.60416665,71.35416667,20437.91667,1663.7970530793775,2768220.633835621,902
